branch_id,from_bus,to_bus,nominal_status_1closed_0open,switch_type
358,322,321,1,sectionalizing
359,323,322,1,sectionalizing
360,324,323,1,sectionalizing
361,300,324,1,sectionalizing
362,325,300,1,sectionalizing
363,316,326,1,sectionalizing
364,266,327,1,sectionalizing
365,328,327,1,sectionalizing
366,329,328,1,sectionalizing
367,330,329,1,sectionalizing
368,331,330,1,sectionalizing
369,332,331,1,sectionalizing
370,332,333,1,sectionalizing
371,332,334,1,sectionalizing
372,334,335,1,sectionalizing
373,334,336,1,sectionalizing
374,336,337,1,sectionalizing
375,336,338,1,sectionalizing
376,338,339,1,sectionalizing
377,339,340,1,sectionalizing
378,339,341,1,sectionalizing
379,341,342,1,sectionalizing
380,341,343,1,sectionalizing
381,340,344,1,sectionalizing
382,344,345,1,sectionalizing
383,344,346,1,sectionalizing
384,345,347,1,sectionalizing
385,345,348,1,sectionalizing
386,340,349,1,sectionalizing
387,329,350,1,sectionalizing
388,328,351,1,sectionalizing
389,266,352,1,sectionalizing
390,353,352,1,sectionalizing
391,354,353,1,sectionalizing
392,354,355,1,sectionalizing
393,355,356,1,sectionalizing
394,356,357,1,sectionalizing
395,357,358,1,sectionalizing
396,357,359,1,sectionalizing
397,359,360,1,sectionalizing
398,359,361,1,sectionalizing
399,361,362,1,sectionalizing
400,362,363,1,sectionalizing
401,363,364,1,sectionalizing
402,363,365,1,sectionalizing
403,364,366,1,sectionalizing
404,366,367,1,sectionalizing
405,366,368,1,sectionalizing
406,362,369,1,sectionalizing
407,369,370,1,sectionalizing
408,370,371,1,sectionalizing
409,372,371,1,sectionalizing
410,372,373,1,sectionalizing
411,373,374,1,sectionalizing
412,375,374,1,sectionalizing
413,372,376,1,sectionalizing
414,372,377,1,sectionalizing
415,377,378,1,sectionalizing
416,379,3,1,sectionalizing
417,380,379,1,sectionalizing
418,381,380,1,sectionalizing
419,381,382,1,sectionalizing
420,383,381,1,sectionalizing
421,383,384,1,sectionalizing
422,383,385,1,sectionalizing
423,384,386,1,sectionalizing
424,384,387,1,sectionalizing
425,387,388,1,sectionalizing
426,388,389,1,sectionalizing
427,389,390,1,sectionalizing
428,390,391,1,sectionalizing
429,389,392,1,sectionalizing
430,392,393,1,sectionalizing
431,393,394,1,sectionalizing
432,394,395,1,sectionalizing
433,394,396,1,sectionalizing
434,395,397,1,sectionalizing
435,397,398,1,sectionalizing
436,397,399,1,sectionalizing
437,399,400,1,sectionalizing
438,398,401,1,sectionalizing
439,398,402,1,sectionalizing
440,401,403,1,sectionalizing
441,401,404,1,sectionalizing
442,403,405,1,sectionalizing
443,403,406,1,sectionalizing
444,403,407,1,sectionalizing
445,402,408,1,sectionalizing
446,402,409,1,sectionalizing
447,402,410,1,sectionalizing
448,411,410,1,sectionalizing
449,410,412,1,sectionalizing
450,413,412,1,sectionalizing
451,414,412,1,sectionalizing
452,414,415,1,sectionalizing
453,415,416,1,sectionalizing
454,416,368,0,tie
455,368,417,1,sectionalizing
456,417,418,1,sectionalizing
457,415,419,1,sectionalizing
458,420,412,1,sectionalizing
459,387,421,1,sectionalizing
460,421,422,1,sectionalizing
461,422,423,1,sectionalizing
462,423,424,1,sectionalizing
463,421,425,1,sectionalizing
464,421,426,1,sectionalizing
465,385,427,1,sectionalizing
466,385,428,1,sectionalizing
467,379,429,1,sectionalizing
468,430,3,1,sectionalizing
469,431,430,1,sectionalizing
470,431,432,1,sectionalizing
471,432,433,1,sectionalizing
472,433,434,1,sectionalizing
473,434,435,1,sectionalizing
474,435,436,1,sectionalizing
475,435,437,1,sectionalizing
476,436,438,1,sectionalizing
477,436,439,1,sectionalizing
478,439,440,1,sectionalizing
479,439,441,1,sectionalizing
480,437,442,1,sectionalizing
481,443,434,1,sectionalizing
482,432,444,1,sectionalizing
483,445,431,1,sectionalizing
484,445,446,1,sectionalizing
485,431,447,1,sectionalizing
486,266,448,1,sectionalizing
487,448,449,1,sectionalizing
488,449,450,1,sectionalizing
489,450,451,1,sectionalizing
490,450,452,1,sectionalizing
491,451,453,1,sectionalizing
492,451,454,1,sectionalizing
493,452,455,1,sectionalizing
494,452,456,1,sectionalizing
495,266,457,1,sectionalizing
496,457,458,1,sectionalizing
497,458,459,1,sectionalizing
498,458,460,1,sectionalizing
499,459,461,1,sectionalizing
500,462,461,1,sectionalizing
501,460,463,1,sectionalizing
502,460,464,1,sectionalizing
503,464,465,1,sectionalizing
504,465,466,1,sectionalizing
505,466,467,1,sectionalizing
506,467,468,1,sectionalizing
507,468,469,1,sectionalizing
508,469,470,1,sectionalizing
509,471,470,1,sectionalizing
510,108,471,0,tie
511,108,472,1,sectionalizing
512,472,473,1,sectionalizing
513,472,474,1,sectionalizing
514,474,475,1,sectionalizing
515,475,476,1,sectionalizing
516,476,477,1,sectionalizing
517,478,477,1,sectionalizing
518,477,479,1,sectionalizing
519,479,480,1,sectionalizing
520,480,481,1,sectionalizing
521,481,482,1,sectionalizing
522,483,482,1,sectionalizing
523,484,477,1,sectionalizing
524,485,484,1,sectionalizing
525,486,484,1,sectionalizing
526,487,486,1,sectionalizing
527,476,488,1,sectionalizing
528,488,489,1,sectionalizing
529,474,490,1,sectionalizing
530,490,491,1,sectionalizing
531,490,492,1,sectionalizing
532,493,471,0,tie
533,493,494,1,sectionalizing
534,493,495,1,sectionalizing
535,495,496,1,sectionalizing
536,480,495,1,sectionalizing
537,495,497,1,sectionalizing
538,498,497,0,tie
539,499,497,1,sectionalizing
540,468,500,1,sectionalizing
541,500,501,1,sectionalizing
542,500,502,1,sectionalizing
543,465,503,1,sectionalizing
544,503,504,1,sectionalizing
545,267,505,1,sectionalizing
546,506,505,1,sectionalizing
547,267,507,0,tie
548,507,508,1,sectionalizing
549,508,509,1,sectionalizing
550,267,510,1,sectionalizing
551,510,511,1,sectionalizing
552,511,509,1,sectionalizing
553,510,512,1,sectionalizing
554,512,306,0,tie
555,266,513,1,sectionalizing
556,514,513,1,sectionalizing
557,514,515,1,sectionalizing
558,516,514,1,sectionalizing
559,517,516,1,sectionalizing
560,498,517,1,sectionalizing
561,498,518,1,sectionalizing
562,519,518,1,sectionalizing
563,519,520,1,sectionalizing
564,520,521,1,sectionalizing
565,522,521,1,sectionalizing
566,522,523,1,sectionalizing
567,523,524,1,sectionalizing
568,524,525,1,sectionalizing
569,525,526,1,sectionalizing
570,525,527,1,sectionalizing
571,527,528,1,sectionalizing
572,348,528,0,tie
573,529,524,1,sectionalizing
574,529,530,1,sectionalizing
575,530,531,1,sectionalizing
576,532,521,1,sectionalizing
577,517,533,1,sectionalizing
